Date,ASIANPAINT.NS,BRITANNIA.NS,BZ=F,HINDALCO.NS,HINDUNILVR.NS,JSWSTEEL.NS,NESTLEIND.NS,ONGC.NS,SHREECEM.NS,SUNPHARMA.NS,VEDL.NS
2023-03-08,2749.885498046875,4089.096923828125,82.66000366210938,397.7882385253906,2328.433349609375,661.7462768554688,890.7694702148438,136.03961181640625,25624.630859375,928.4880981445312,202.0166015625
2023-03-09,2744.115966796875,4043.915283203125,81.58999633789062,398.86138916015625,2306.227294921875,666.4492797851562,891.60888671875,134.36331176757812,25177.5859375,923.83349609375,202.3355255126953
2023-03-10,2721.6611328125,4062.1005859375,82.77999877929688,395.73956298828125,2310.02197265625,665.6654663085938,889.2061767578125,133.93348693847656,25789.17578125,926.5972290039062,198.3313446044922
2023-03-13,2677.4248046875,4058.897216796875,80.7699966430664,392.422607421875,2300.3251953125,661.9422607421875,881.110595703125,133.93348693847656,25380.59375,925.1911010742188,197.5872039794922
2023-03-14,2640.3056640625,4045.0927734375,77.44999694824219,392.86163330078125,2288.471923828125,658.4640502929688,878.5707397460938,131.7843475341797,24846.5234375,928.1972045898438,198.01242065429688
2023-03-15,2718.968505859375,3998.121337890625,73.69000244140625,396.2273254394531,2254.4140625,665.9104614257812,865.5206298828125,131.1396484375,24951.279296875,922.572998046875,198.72113037109375
2023-03-16,2782.29345703125,4062.289306640625,74.69999694824219,375.5452880859375,2304.306884765625,649.0090942382812,887.5178833007812,130.8387451171875,25091.00390625,938.0881958007812,194.92955017089844
2023-03-17,2752.866455078125,4110.67431640625,72.97000122070312,387.0082092285156,2293.10986328125,662.7261352539062,907.1195678710938,131.6553955078125,24784.46875,928.6820678710938,201.6268310546875
2023-03-20,2745.654052734375,4081.7470703125,73.79000091552734,376.32574462890625,2352.887939453125,654.6428833007812,910.9533081054688,130.92471313476562,24700.201171875,932.0760498046875,198.36676025390625
2023-03-21,2730.219970703125,4018.474365234375,75.31999969482422,379.05731201171875,2307.35205078125,652.2913818359375,910.4506225585938,130.27996826171875,24765.904296875,927.2274780273438,201.05987548828125
2023-03-22,2730.94140625,3999.3935546875,76.69000244140625,383.15472412109375,2320.235107421875,648.8621215820312,905.2699584960938,130.27996826171875,25111.73828125,942.5972290039062,202.22923278808594
2023-03-23,2690.50390625,3997.744384765625,75.91000366210938,389.056884765625,2328.433349609375,654.2999267578125,916.080810546875,131.35455322265625,25032.1015625,948.0275268554688,192.23648071289062
2023-03-24,2691.177001953125,3957.46240234375,74.98999786376953,378.91094970703125,2324.404296875,644.5020751953125,911.6868286132812,128.43173217773438,25129.125,943.3729248046875,191.1734161376953
2023-03-27,2696.2255859375,3971.455078125,78.12000274658203,380.42315673828125,2341.45703125,645.5308227539062,908.6996459960938,129.16241455078125,25200.044921875,953.65185546875,193.2995147705078
2023-03-28,2677.665771484375,3957.509521484375,78.6500015258789,383.3010559082031,2326.278564453125,646.6575927734375,911.3452758789062,126.54049682617188,24815.595703125,954.3790893554688,194.36257934570312
2023-03-29,2664.250732421875,4029.310302734375,78.27999877929688,389.3008117675781,2371.29931640625,665.1755981445312,916.4898681640625,128.38873291015625,25417.77734375,961.8458251953125,199.67788696289062
2023-03-30,,,79.2699966430664,,,,,,,,
2023-03-31,2655.739990234375,4072.607421875,79.7699966430664,395.4468994140625,2398.939453125,674.1895141601562,947.8308715820312,129.8501434326172,25794.294921875,953.3125,194.50436401367188
2023-04-03,2670.50146484375,4074.397216796875,84.93000030517578,392.7153015136719,2376.21826171875,668.4088745117188,947.8765869140625,132.08522033691406,25867.091796875,949.3851318359375,200.13853454589844
2023-04-04,,,84.94000244140625,,,,,,,,
2023-04-05,2700.793212890625,4077.6953125,84.98999786376953,393.44696044921875,2419.927490234375,672.6708984375,953.4852905273438,131.4404754638672,26137.080078125,966.9367065429688,202.86705017089844
2023-04-06,2702.092041015625,4051.546875,85.12000274658203,395.3493347167969,2403.530517578125,668.8987426757812,948.0111694335938,129.4633026123047,25772.3828125,981.4336547851562,208.55422973632812
2023-04-10,2669.87646484375,4020.075927734375,84.18000030517578,401.3978576660156,2372.51708984375,674.5814819335938,939.4465942382812,135.09397888183594,25610.892578125,978.0396728515625,206.03509521484375
2023-04-11,2648.19140625,4030.393798828125,85.61000061035156,407.34881591796875,2387.134033203125,699.174072265625,946.392578125,136.72732543945312,25808.529296875,978.670166015625,208.210693359375
2023-04-12,2679.87744140625,4024.69287109375,87.33000183105469,407.4463806152344,2369.518798828125,703.7300415039062,935.1222534179688,135.52383422851562,25725.298828125,985.8944091796875,210.38632202148438
2023-04-13,2701.995361328125,4086.894287109375,86.08999633789062,411.7388916015625,2376.31201171875,706.0816040039062,936.3272094726562,136.4694366455078,25421.224609375,973.09423828125,210.462646484375
2023-04-14,,,86.30999755859375,,,,,,,,
2023-04-17,2734.066650390625,4158.20068359375,84.76000213623047,418.2264709472656,2390.975341796875,706.620361328125,973.8012084960938,137.67294311523438,25149.31640625,968.4398193359375,212.98179626464844
2023-04-18,2745.125732421875,4122.97900390625,84.7699966430664,421.00677490234375,2380.8564453125,704.8078002929688,993.8526000976562,137.6299591064453,24884.84375,974.35498046875,213.43978881835938
2023-04-19,2701.947509765625,4115.3115234375,83.12000274658203,422.4701232910156,2372.001953125,707.7471313476562,991.8059692382812,137.6299591064453,24387.7109375,965.3366088867188,214.92840576171875
2023-04-20,2734.787841796875,4079.418701171875,81.0999984741211,419.34832763671875,2335.460205078125,701.3295288085938,984.80224609375,136.8133087158203,23890.724609375,957.821533203125,213.43978881835938
2023-04-21,2771.571044921875,4147.84912109375,81.66000366210938,412.0315856933594,2340.47314453125,696.2837524414062,990.8815307617188,137.20016479492188,23528.8828125,959.4700317382812,211.26419067382812
2023-04-24,2780.2255859375,4131.74853515625,82.7300033569336,417.3484191894531,2342.15966796875,705.78759765625,1000.18505859375,137.75892639160156,23512.43359375,949.4821166992188,210.11912536621094
2023-04-25,2786.861083984375,4219.49169921875,80.7699966430664,419.2995300292969,2333.446044921875,710.3435668945312,999.0199584960938,138.10275268554688,23717.361328125,943.0335693359375,212.75279235839844
2023-04-26,2798.400634765625,4221.83984375,77.69000244140625,414.42169189453125,2352.51318359375,708.8248901367188,1016.4743041992188,138.53262329101562,23603.201171875,941.821533203125,210.8443603515625
2023-04-27,2788.736083984375,4232.23876953125,78.37000274658203,420.2751159667969,2313.3017578125,717.300048828125,1022.3261108398438,137.58700561523438,23389.75390625,949.0457763671875,210.76797485351562
2023-04-28,2791.044189453125,4364.21337890625,79.54000091552734,425.4456481933594,2302.38623046875,710.6375122070312,1052.013671875,136.64138793945312,23969.57421875,957.724609375,213.2489776611328
2023-05-01,,,79.30999755859375,,,,,,,,
2023-05-02,2788.3515625,4323.48046875,75.31999969482422,435.2500915527344,2297.138671875,722.9828491210938,1051.2618408203125,141.19749450683594,23828.9140625,943.5669555664062,214.58489990234375
2023-05-03,2817.34521484375,4338.86279296875,72.33000183105469,431.4941711425781,2329.2763671875,717.6429443359375,1057.539306640625,138.53262329101562,23894.814453125,934.4031982421875,212.40927124023438
2023-05-04,2868.45703125,4396.3203125,72.5,434.615966796875,2348.718505859375,723.7666015625,1048.7432861328125,138.4036865234375,24089.6953125,944.4880981445312,212.33290100097656
2023-05-05,2897.40283203125,4433.650390625,75.30000305175781,423.6408386230469,2343.09619140625,718.5247192382812,1064.508056640625,137.8019256591797,24148.599609375,941.0457763671875,209.6992950439453
2023-05-08,2903.653076171875,4407.19775390625,77.01000213623047,434.17694091796875,2357.66650390625,717.9859008789062,1062.738525390625,141.8422393798828,24202.970703125,932.7062377929688,213.05816650390625
2023-05-09,2918.414794921875,4404.08349609375,77.44000244140625,429.591796875,2357.1982421875,709.95166015625,1062.1634521484375,142.0571746826172,23844.03515625,928.439697265625,216.6078338623047
2023-05-10,2924.761474609375,4413.47607421875,76.41000366210938,425.7870788574219,2363.662841796875,709.7067260742188,1065.9654541015625,143.51856994628906,24065.46484375,924.900146484375,218.2490692138672
2023-05-11,3019.34033203125,4442.419921875,74.9800033569336,410.5682067871094,2428.96875,696.2347412109375,1064.5054931640625,143.6045379638672,24503.841796875,931.9305419921875,214.85206604003906
2023-05-12,3011.021728515625,4424.5458984375,74.16999816894531,394.861572265625,2458.0146484375,688.4454345703125,1053.596923828125,142.27207946777344,24379.73046875,927.0335083007812,210.00465393066406
2023-05-15,3011.88720703125,4438.29931640625,75.2300033569336,400.66619873046875,2494.41552734375,691.2868041992188,1053.2320556640625,142.35806274414062,24223.212890625,924.1244506835938,211.5695343017578
2023-05-16,3017.753173828125,4415.3447265625,74.91000366210938,402.3734436035156,2507.20458984375,688.5433959960938,1052.9322509765625,144.42120361328125,24032.513671875,912.4395751953125,213.6306610107422
2023-05-17,2973.85400390625,4439.30517578125,76.95999908447266,397.7394714355469,2493.94677734375,681.0480346679688,1050.61669921875,143.77647399902344,24052.859375,907.591064453125,213.32530212402344
2023-05-18,2989.8173828125,4374.56396484375,75.86000061035156,396.56878662109375,2461.903076171875,678.0597534179688,1048.059326171875,143.0028076171875,23624.67578125,901.4819946289062,212.63827514648438
2023-05-19,2966.16064453125,4312.74609375,75.58000183105469,396.81268310546875,2474.927001953125,679.8233032226562,1048.569091796875,141.75628662109375,24042.662109375,897.7970581054688,215.23377990722656
2023-05-22,2966.593505859375,4311.88330078125,75.98999786376953,397.7394714355469,2471.7880859375,690.35595703125,1039.1253662109375,142.35806274414062,24101.763671875,909.0455932617188,219.47048950195312
2023-05-23,3000.92431640625,4333.63916015625,76.83999633789062,400.27593994140625,2462.605712890625,689.8660888671875,1034.721435546875,141.8422393798828,24394.458984375,903.3727416992188,220.119384765625
2023-05-24,2982.556884765625,4331.8662109375,78.36000061035156,396.9590148925781,2450.097412109375,681.9298706054688,1033.6046142578125,142.91680908203125,23631.078125,923.3002319335938,222.40948486328125
2023-05-25,3003.76123046875,4373.5576171875,76.26000213623047,394.3737487792969,2433.51318359375,682.5667114257812,1038.1634521484375,142.701904296875,23883.537109375,916.3668212890625,225.80648803710938
2023-05-26,3008.425048828125,4405.08984375,76.94999694824219,403.4465637207031,2485.139404296875,687.5146484375,1043.328857421875,140.7677001953125,24602.4921875,940.5123291015625,227.21875
2023-05-29,3017.079833984375,4385.0107421875,,409.64141845703125,2483.218994140625,688.0045166015625,1050.4691162109375,136.68434143066406,24882.576171875,939.1063232421875,229.27987670898438
2023-05-30,3023.8115234375,4383.09423828125,73.54000091552734,403.0075378417969,2489.074951171875,690.35595703125,1042.9759521484375,136.55543518066406,25203.294921875,930.5244750976562,232.33041381835938
2023-05-31,3070.499755859375,4463.4091796875,72.66000366210938,395.98345947265625,2499.38134765625,682.2237548828125,1047.7449951171875,133.1597900390625,24787.8671875,945.7972412109375,226.39198303222656
2023-06-01,3116.41796875,4442.51611328125,74.27999877929688,396.4224548339844,2527.81787109375,679.8233032226562,1057.4716796875,132.08522033691406,24844.236328125,957.77294921875,226.22930908203125
2023-06-02,3113.1005859375,4460.63037109375,76.12999725341797,410.4706115722656,2545.432861328125,692.3155517578125,1065.7939453125,132.9878692626953,24716.990234375,969.3125,227.8562469482422
2023-06-05,3077.038818359375,4487.8974609375,76.70999908447266,409.4463195800781,2525.8505859375,697.75341796875,1055.53076171875,133.589599609375,24501.443359375,978.185302734375,226.39198303222656
2023-06-06,3089.540283203125,4509.74951171875,76.29000091552734,405.397705078125,2521.493408203125,698.439208984375,1049.306396484375,132.08522033691406,25462.693359375,983.0821533203125,225.6598663330078
